time,alpha,bF,bR,walkMode,sideRotW,palmDotR,palmDotL,fingDotR
443.915,1.00,0,0,3,-1.000,-0.70,-1.00,0.16
443.944,1.00,0,0,3,-1.000,-0.70,-1.00,0.17
443.973,1.00,0,0,3,-1.000,-0.70,-1.00,0.17
444.004,1.00,0,0,3,-1.000,-0.70,-1.00,0.17
444.033,1.00,0,0,3,-1.000,-0.70,-1.00,0.17
444.063,1.00,0,0,3,-1.000,-0.71,-1.00,0.17
444.092,1.00,0,0,3,-1.000,-0.71,-1.00,0.17
444.123,1.00,0,0,3,-1.000,-0.71,-1.00,0.18
444.162,1.00,0,0,3,-1.000,-0.71,-1.00,0.18
444.191,1.00,0,0,3,-1.000,-0.71,-1.00,0.18
444.221,1.00,0,0,3,-1.000,-0.71,-1.00,0.18
444.251,1.00,0,0,3,-1.000,-0.72,-1.00,0.18
444.281,1.00,0,0,3,-1.000,-0.72,-1.00,0.18
444.311,1.00,0,0,3,-1.000,-0.72,-1.00,0.18
444.342,1.00,0,0,3,-1.000,-0.72,-1.00,0.18
444.371,1.00,0,0,3,-1.000,-0.72,-1.00,0.18
444.401,1.00,0,0,3,-1.000,-0.72,-1.00,0.18
444.431,1.00,0,0,3,-1.000,-0.72,-1.00,0.18
444.461,1.00,0,0,3,-1.000,-0.72,-1.00,0.18
444.490,1.00,0,0,3,-1.000,-0.71,-1.00,0.18
444.519,1.00,0,0,3,-1.000,-0.71,-1.00,0.18
444.548,1.00,0,0,3,-1.000,-0.71,-1.00,0.18
444.578,1.00,0,0,3,-1.000,-0.71,-1.00,0.18
444.609,1.00,0,0,3,-1.000,-0.71,-1.00,0.18
444.638,1.00,0,0,3,-1.000,-0.71,-1.00,0.18
444.670,1.00,0,0,3,-1.000,-0.71,-1.00,0.18
444.699,1.00,0,0,3,-1.000,-0.71,-1.00,0.18
444.728,1.00,0,0,3,-1.000,-0.71,-1.00,0.18
444.758,1.00,0,0,3,-1.000,-0.71,-1.00,0.18
444.787,1.00,0,0,3,-1.000,-0.71,-1.00,0.18
444.818,1.00,0,0,3,-1.000,-0.71,-1.00,0.19
444.848,1.00,0,0,3,-1.000,-0.71,-1.00,0.19
444.877,1.00,0,0,3,-1.000,-0.71,-1.00,0.19
444.907,1.00,0,0,3,-1.000,-0.71,-1.00,0.19
444.936,1.00,0,0,3,-1.000,-0.71,-1.00,0.19
444.966,1.00,0,0,3,-1.000,-0.71,-1.00,0.19
444.998,1.00,0,0,3,-1.000,-0.70,-1.00,0.19
445.030,1.00,0,0,3,-1.000,-0.70,-1.00,0.19
445.059,1.00,0,0,3,-1.000,-0.70,-1.00,0.19
445.089,1.00,0,0,3,-1.000,-0.70,-1.00,0.19
445.119,1.00,0,0,3,-1.000,-0.70,-1.00,0.19
445.149,1.00,0,0,3,-1.000,-0.70,-1.00,0.19
445.178,1.00,0,0,3,-1.000,-0.70,-1.00,0.19
445.208,1.00,0,0,3,-1.000,-0.70,-1.00,0.20
445.238,1.00,0,0,3,-1.000,-0.70,-1.00,0.20
445.268,1.00,0,0,3,-1.000,-0.70,-1.00,0.20
